iteracion,vault_final_usd,supply_final,precio_luka_final,precio_kash_final,dia_activacion_b2,espiral_muerte,ruina_total,r_op_final
343,964503797.56,3300000000.0,0.29227388,0.29227388,457,0,0,2453845.57
344,102129915.2,3300000000.0,0.03094846,0.03094846,495,0,0,1778667.56
345,231855080.13,3300000000.0,0.07025912,0.07025912,400,0,0,1929028.78
346,139371162.77,3300000000.0,0.04223369,0.04223369,482,0,0,1785374.52
347,311479413.27,3524442551.0,0.08837693,0.08837693,349,0,0,1849510.82
348,205437804.62,3300000000.0,0.06225388,0.06225388,423,0,0,1888916.27
349,346024957.84,3300000000.0,0.10485605,0.10485605,390,0,0,1965756.15
350,193684574.67,3300000000.0,0.0586923,0.0586923,489,0,0,1774083.34
351,284345349.23,3300000000.0,0.08616526,0.08616526,479,0,0,1914332.11
352,177656356.93,3300000000.0,0.05383526,0.05383526,420,0,0,1995402.21
